aesthetic, 486
experience, 374
stanford, 10
encyclopedia, 7
of, 1112
philosophy, 57
menu, 1
browse, 2
table, 2
content, 13
what, 81
new, 54
random, 2
entry, 15
chronological, 2
archive, 2
about, 41
editorial, 4
information, 2
the, 1021
sep, 12
board, 2
how, 23
to, 505
cite, 6
special, 12
character, 3
advanced, 6
tool, 7
contact, 4
support, 6
pdfs, 2
for, 107
friend, 7
make, 54
a, 697
donation, 2
sepia, 2
library, 6
navigation, 1
bibliography, 4
academic, 3
pdf, 2
preview, 2
author, 4
and, 531
citation, 2
info, 2
back, 6
top, 1
experiencefirst, 1
publish, 4
fri, 1
jan, 1
paradigmatic, 1
be, 580
perceptual, 8
focus, 52
on, 167
beauty, 76
an, 212
object, 159
like, 26
work, 45
art, 163
or, 147
aspect, 27
nature, 42
some, 47
philosopher, 33
take, 102
it, 310
that, 384
this, 169
only, 32
kind, 45
though, 14
many, 14
more, 35
there, 35
other, 40
variety, 5
well, 4
you, 47
might, 29
instance, 11
have, 126
by, 93
witness, 1
not, 114
beautiful, 28
but, 91
sublime, 15
storm, 2
rather, 16
imagine, 3
emotional, 11
deep, 8
suffering, 3
sethe, 1
express, 31
in, 577
toni, 1
morrison, 1
s, 119
great, 11
novel, 4
beloved, 1
perhaps, 9
even, 29
appreciate, 10
way, 68
which, 83
elegant, 1
theorem, 3
reorganize, 1
your, 13
thought, 20
mathematical, 1
structure, 17
philosophical, 33
western, 3
tradition, 6
extend, 4
at, 38
least, 11
as, 6
far, 5
ancient, 3
greek, 6
concept, 15
such, 65
emerge, 4
century, 30
all, 48
who, 36
area, 1
any, 31
form, 93
most, 12
fundamental, 22
theory, 44
others, 14
evaluative, 2
judgment, 14
value, 41
themselves, 12
basic, 5
explain, 8
relevant, 12
phenomenon, 3
discuss, 6
those, 42
view, 74
with, 106
use, 11
idea, 39
distinctively, 3
several, 7
different, 16
purpose, 10
defend, 3
effortful, 1
engagement, 3
criticism, 28
shelley, 9
give, 24
substantive, 7
definition, 7
tolstoy, 5
elevate, 1
real, 11
over, 5
cultural, 1
medium, 1
collingwood, 17
argue, 17
personal, 7
social, 7
importance, 6
education, 3
sensibility, 1
schiller, 4
describe, 2
cognitive, 6
world, 36
metaphysics, 7
schopenhauer, 11
few, 7
now, 7
question, 10
utility, 3
shusterman, 6
nehamas, 6
diversity, 3
difficult, 2
say, 14
much, 8
controversial, 1
can, 73
pose, 1
distinctive, 6
valuable, 4
if, 20
do, 50
involve, 58
evaluate, 1
own, 33
these, 37
under, 7
condition, 8
sense, 25
we, 96
should, 20
will, 20
answer, 2
behalf, 1
various, 18
approach, 16
course, 3
overview, 5
organize, 2
along, 1
two, 11
dimension, 1
term, 14
property, 47
internal, 9
itself, 42
function, 14
power, 35
please, 12
merit, 25
expression, 57
mental, 25
pleasure, 92
conceptualization, 10
imagination, 54
emotion, 91
disinterest, 18
normativity, 12
internet, 4
resource, 2
related, 2
intentionality, 1
typically, 5
sculpture, 2
symphony, 2
painting, 4
performance, 2
bird, 2
plumage, 1
cliff, 1
bright, 1
winter, 1
morning, 1
sensible, 3
feature, 14
commonly, 1
think, 36
case, 12
poem, 4
certain, 63
piece, 5
conceptual, 6
understand, 27
imagined, 1
sensory, 6
abstract, 4
intelligible, 2
neither, 5
nor, 8
imaginative, 4
common, 9
individuate, 3
type, 15
perceive, 11
shape, 13
color, 6
resemblance, 6
person, 1
placement, 1
gallery, 1
authorship, 1
representational, 4
style, 2
exclude, 1
section, 32
analyze, 2
broad, 3
category, 6
formal, 8
composition, 1
thing, 22
u, 49
deserve, 5
subjective, 15
response, 27
expressive, 22
especially, 13
metaphysical, 3
essence, 3
humanity, 3
consistent, 5
than, 19
one, 59
present, 14
each, 5
subsection, 2
below, 2
mutually, 1
exclusive, 1
except, 2
where, 5
explicitly, 5
state, 12
discussion, 15
largely, 5
treat, 15
without, 13
discriminate, 2
between, 17
their, 22
presence, 3
manufactured, 1
artwork, 31
leave, 5
aside, 3
comparative, 1
fundamentality, 1
cf, 35
hegel, 5
croce, 13
adorno, 8
pp, 93
wollheim, 18
savile, 3
also, 38
solely, 3
bullough, 5
hepburn, 2
carlson, 3
budd, 8
rolston, 2
abstracta, 1
proof, 1
baumgarten, 12
hutcheson, 9
schellekens, 3
long, 3
before, 7
development, 4
neo-platonic, 1
medieval, 4
develop, 4
rationally, 1
could, 25
his, 50
fourth-century, 1
de, 22
musica, 4
augustine, 4
music, 40
partly, 7
matter, 33
proportionality, 1
part, 16
later, 7
visual, 8
harmony, 3
combine, 4
right, 5
haldane, 4
nine, 1
thomas, 8
aquinas, 4
summa, 4
theologica, 3
echo, 2
hylomorphic, 1
conception, 17
material, 5
proper, 3
apprehension, 5
pulchrum, 1
dicatur, 1
id, 1
cujus, 1
apprehensio, 1
ipsa, 1
placet, 1
ia, 1
iiae, 1
ad, 2
translate, 6
mothersill, 5
italian, 1
renaissance, 2
leon, 2
battista, 2
alberti, 2
call, 16
reason, 15
within, 4
body, 7
book, 12
eighteenth, 9
attention, 13
per, 5
se, 5
grow, 1
out, 10
general, 16
inquiry, 4
into, 26
perception, 25
alexander, 5
first, 8
define, 6
broadly, 2
science, 7
cognize, 2
from, 83
aisthêsis, 1
topic, 5
heavily, 1
influence, 10
leibniz, 2
wolff, 5
three, 4
generally, 8
perfection, 8
coherence, 1
either, 2
they, 26
together, 4
accomplish, 1
early, 11
claim, 70
thoroughly, 1
integrate, 3
theistic, 1
epistemology, 2
thinker, 3
he, 54
write, 17
conscious, 6
our, 52
cognition, 2
suit, 3
meier, 4
mendelssohn, 8
contemporary, 12
english, 6
anthony, 4
ashbury, 1
cooper, 2
third, 8
earl, 3
shaftesbury, 5
pleasurable, 11
admiration, 7
well-formed, 2
really, 14
form-imposing, 1
mind, 28
include, 8
artist, 22
ultimately, 2
divine, 8
beautifying, 1
beautify, 1
cahn, 30
meskin, 32
immanuel, 3
kant, 41
immensely, 1
influential, 10
critique, 7
peel, 1
away, 8
cleave, 1
pure, 7
free, 19
when, 17
just, 25
conceptualize, 2
clearly, 2
contradict, 1
german, 11
predecessor, 3
gain, 4
nonetheless, 11
theoretical, 2
concession, 1
allow, 10
may, 4
confuse, 1
purposiveness, 2
reference, 3
specific, 7
latter, 8
suggest, 7
consist, 3
unite, 1
them, 13
structured, 2
unity, 10
see, 76
secondly, 1
concede, 2
sometimes, 9
speak, 5
building, 2
highlight, 1
something, 25
perfect, 2
accessory, 2
adherent, 1
another, 11
translation, 3
pulchritude, 1
adhaerens, 1
often, 9
formalist, 2
exclusively, 5
interpretive, 2
dispute, 5
clear, 12
offer, 32
understanding, 12
independently, 3
association, 3
fulfill, 1
nineteenth, 3
move, 4
mere, 3
knowledge, 17
afford, 1
interest, 4
saw, 3
resurgence, 4
final, 2
decade, 1
birth, 2
tragedy, 7
friedrich, 17
nietzsche, 5
artistic, 3
rhythm, 1
musical, 5
overarch, 1
transfigure, 1
fact, 7
human, 20
would, 21
otherwise, 11
overwhelm, 1
paralyze, 1
transfiguration, 2
come, 15
horrible, 1
produce, 19
necessary, 7
salutary, 3
illusion, 2
terrible, 3
unmanageable, 1
truth, 9
austrian, 1
critic, 6
eduard, 2
hanslick, 2
lack, 3
subject, 8
no, 18
discredit, 1
partial, 2
return, 2
george, 8
santayana, 5
particularly, 7
important, 6
role, 9
play, 23
ground, 5
self-conscious, 5
synthesize, 1
distinct, 9
element, 5
whole, 10
late, 4
non-representational, 1
formalism, 11
place, 8
stolnitz, 10
carroll, 10
clive, 5
bell, 11
significant, 8
arrangement, 1
combination, 2
particular, 19
austere, 1
thrill, 1
rapture, 1
feeling, 61
encounter, 3
contrast, 8
representative, 1
always, 2
irrelevant, 1
twist, 1
history, 11
john, 17
dewey, 15
landmark, 1
emphasize, 4
primarily, 5
unify, 1
consummatory, 1
meaningful, 6
understood, 3
event, 4
single, 4
quality, 12
pervade, 3
entire, 3
spite, 1
variation, 2
constituent, 1
reprint, 29
esthetic, 5
phenomenological, 12
constitute, 3
excite, 2
baseball, 1
game, 2
watch, 1
sunset, 1
paper, 4
methodology, 1
outsized, 1
impact, 2
analytic, 2
survive, 2
wittgenstein, 6
threaten, 2
possibility, 4
turn, 6
towards, 6
primacy, 1
find, 7
notably, 7
monroe, 5
beardsley, 13
know, 14
hedonist, 1
because, 13
necessarily, 6
gratification, 3
count, 6
tend, 7
gratify, 1
intense, 2
unified, 3
complete, 4
whose, 8
reward, 1
curiosity, 1
active, 1
true, 7
so, 34
explanatorily, 1
prior, 1
fall, 5
favor, 1
regard, 3
extreme, 1
objection, 9
try, 2
undercut, 1
central, 8
motivation, 2
denominator, 1
both, 11
artefactual, 1
natural, 12
after, 9
challenge, 5
provide, 3
sufficient, 2
application, 1
lost, 4
cause, 1
antithetical, 1
radical, 1
openness, 1
weitz, 2
essentially, 8
contest, 2
gallie, 3
crucially, 4
