fakhr, 129
al-din, 4
al-razi, 2
stanford, 40
encyclopedia, 30
of, 3079
philosophy, 238
menu, 5
browse, 10
table, 10
content, 29
what, 151
new, 174
random, 12
entry, 55
chronological, 10
archive, 11
about, 103
editorial, 20
information, 12
the, 3782
sep, 60
board, 11
how, 71
to, 1559
cite, 24
special, 27
character, 24
advanced, 19
tool, 30
contact, 21
support, 54
pdfs, 10
for, 404
friend, 27
make, 114
a, 1961
donation, 10
sepia, 10
library, 19
navigation, 5
bibliography, 22
academic, 22
pdf, 10
preview, 10
author, 14
and, 1958
citation, 6
info, 10
back, 20
top, 6
al-razifirst, 1
publish, 36
sun, 2
feb, 1
al-dīn, 141
al-rāzī, 51
be, 1782
one, 157
most, 60
innovative, 3
influential, 17
thinker, 24
in, 1737
first, 49
stage, 7
sometimes, 19
call, 42
post-classical, 5
islamic, 33
thought, 55
along, 3
with, 339
other, 110
major, 22
east, 6
twelfth, 3
century, 57
notably, 13
abū, 22
l-barakāt, 13
al-baghdādī, 7
al-suhrawardī, 4
react, 3
critically, 4
ibn, 70
sīnā, 62
avicenna, 45
he, 358
produce, 24
voluminous, 1
corpus, 3
that, 878
often, 31
elusive, 2
term, 38
convey, 6
s, 604
own, 74
consider, 28
opinion, 6
but, 234
pack, 1
subtle, 5
philosophical, 67
argumentation, 2
on, 483
pretty, 1
well, 22
every, 19
aspect, 44
think, 61
do, 142
also, 160
stake, 1
out, 33
distinctive, 14
position, 28
his, 439
example, 22
respect, 20
problem, 28
provide, 17
real, 29
definition, 22
distinction, 27
between, 84
essence, 43
existence, 82
principle, 46
physic, 14
unity, 28
human, 118
soul, 28
source, 24
ethical, 15
norm, 3
this, 424
abundant, 2
output, 1
only, 81
part, 50
life, 65
work, 160
which, 261
include, 39
text, 19
law, 31
theology, 14
astrology, 2
history, 68
important, 30
commentary, 14
quran, 3
logic, 25
epistemology, 11
metaphysics, 34
psychology, 15
ethic, 22
primary, 19
literature, 32
secondary, 10
internet, 16
resource, 13
related, 11
shape, 23
by, 351
political, 96
situation, 14
central, 24
asia, 3
generation, 5
just, 54
before, 21
mongol, 1
conquest, 1
region, 20
bear, 13
persian, 1
city, 11
rayy, 4
near, 5
modern-day, 1
tehran, 8
ce, 2
muslim, 5
calendar, 2
name, 8
rāzī, 3
refers, 5
birthplace, 1
lead, 31
potential, 13
confusion, 4
philosopher, 53
from, 271
early, 55
bakr, 7
late, 24
not, 328
stay, 5
travel, 27
widely, 8
throughout, 7
persia, 1
rest, 8
search, 5
education, 15
patronage, 4
worthy, 2
intellectual, 57
opponent, 4
fact, 29
need, 38
venture, 4
far, 22
initial, 3
father, 7
an, 405
expert, 1
second-generation, 1
student, 5
al-juwaynī, 1
thus, 61
young, 7
train, 4
rational, 17
kalām, 28
school, 12
legal, 5
system, 26
go, 25
study, 61
nishapur, 1
where, 31
encounter, 12
al-fārābī, 4
respond, 5
latter, 14
would, 81
become, 56
project, 20
career, 5
at, 158
marāgha, 1
teacher, 3
majd, 1
al-jīlī, 2
after, 46
famous, 14
founder, 2
illuminationist, 1
tradition, 31
mature, 2
have, 304
divide, 5
into, 71
three, 12
phase, 5
recent, 10
detailed, 10
overview, 8
griffel, 8
see, 193
street, 6
altaş, 3
shihadeh, 12
these, 91
mark, 7
relationship, 9
two, 55
power, 62
who, 85
vie, 1
dominance, 4
khwārazm-shāhs, 4
ghūrids, 4
enjoy, 6
decade, 4
join, 9
military, 2
defeat, 3
hand, 21
all, 102
account, 31
great, 32
wealth, 2
standing, 1
ornament, 2
ghūrid, 2
court, 4
close, 10
companion, 9
sultan, 1
ghiyāth, 1
mean, 54
could, 58
above, 23
fray, 1
though, 29
accuse, 3
linger, 1
loyalty, 2
enemy, 1
involve, 71
religious, 5
rivalry, 1
more, 73
literalist, 1
less, 14
rationalist, 3
karrāmite, 1
theological, 7
movement, 15
transoxania, 1
seek, 16
debate, 16
jurist, 1
theologian, 6
similarly, 3
explain, 20
attempt, 11
promote, 4
against, 28
